	node	centrality
0	30	5830.27336714
1	3	3691.3402372
2	25	5143.03932948
3	4	470.087776929
4	5	263.914468651
5	6	184095.384493
6	7	1619.40389973
7	8	76501.923282
8	9	7651.20795832
9	10	11923.9027023
10	11	900024.837536
11	12	5455.70775302
12	13	62.9529664409
13	14	50394.4961511
14	15	503840.049382
15	16	456.41657854
16	17	2878.38816734
17	18	224.275401121
18	19	2191.81783164
19	20	84179.9767981
20	21	6127.34525257
21	22	1.29420052189
22	23	6788.52158292
23	24	153292.588344
24	54	9665.05990992
25	28	184923.706547
26	33	27279.0942366
27	34	21854.058198
28	36	138945.769847
29	35	34979.0241912
30	37	1082.18519244
31	38	587.298381545
32	39	30754.1208704
33	40	57.1959926488
34	26	10411.693393
35	41	752.79555734
36	42	17656.3597028
37	43	4.20393762816
38	44	5148.93984258
39	45	56.8683931658
40	46	3724.00512678
41	47	66111.500098
42	48	290.844331031
43	49	14028.3855848
44	50	2403.22419551
45	51	528.711048465
46	52	0.0
47	53	11723.5521887
48	29	82904.1061397
49	55	79345.5028485
50	56	96195.6820421
51	57	104.144515162
52	58	6080.798532
53	59	16855.9020561
54	60	117.15199847
55	62	1440.14159124
56	27	42984.3240842
57	63	0.0
58	64	50.8938273893
59	65	0.0
60	66	9382.43014765
61	72	242705.857264
62	73	206.115135437
63	75	45539.6403829
64	76	0.0
65	78	4296.84810205
66	79	3539.24201061
67	77	1989.12714872
68	80	26923.2794526
69	81	1107.25564455
70	83	420.506522227
71	91	1.80739216692
72	67	320.888135531
73	84	0.0
74	85	0.0
75	86	139087.153394
76	71	33814.7718451
77	87	105541.088554
78	88	0.0
79	89	10924.0523065
80	90	13418.0763854
81	93	8144.39483917
82	92	9.39711579079
83	82	0.0
84	94	21929.2121913
85	95	66866.5394408
86	99	1706.2449289
87	96	0.0
88	100	6.9531213543
89	98	56.5841443071
90	31	586.509042524
91	102	273.609690442
92	103	23501.9486322
93	115	10.1459514801
94	116	10.5266521069
95	104	2614.78051167
96	105	19431.2300862
97	106	254.557708849
98	68	147533.662408
99	117	0.0
100	118	0.0
101	119	0.0
102	107	36.843932785
103	108	498.070088889
104	109	47106.7662325
105	110	25665.1089309
106	111	1297.56784504
107	120	385.898770026
108	112	0.0
109	121	193.161660596
110	122	33332.2260663
111	113	36451.1592504
112	123	0.0
113	124	5.92199357841
114	114	0.0
115	130	1485.04479788
116	126	997.680858692
117	127	67807.6635862
118	128	8721.85893041
119	129	4.15447978395
120	132	11828.8917143
121	133	280.443946886
122	134	1.55377546141
123	135	10846.7326391
124	136	32568.2957237
125	137	0.0
126	138	4818.32072383
127	139	1893.18595454
128	140	11096.5244584
129	141	0.0
130	142	1113.06929371
131	143	26684.7175905
132	147	17291.2551135
133	145	681.707400807
134	146	0.0
135	151	35137.4391049
136	149	0.0
137	152	34228.4860101
138	153	14381.7447283
139	154	9774.89073159
140	155	45439.5189814
141	156	17.5341268708
142	157	1676.41612525
143	158	95.8271169784
144	159	0.0
145	160	0.0
146	161	1971.66124068
147	162	3.42680922182
148	163	36257.4809975
149	165	2.8174405075
150	168	5732.8419772
151	171	12431.8626336
152	172	19307.2750371
153	175	14229.5226909
154	173	155935.497334
155	174	0.0
156	74	4578.90490048
157	176	720.36531185
158	177	570.915148738
159	178	30719.2515919
160	179	271.978956823
161	180	6587.24856738
162	181	8.45951578548
163	182	26421.7036685
164	166	31646.1341982
165	185	30.3123613915
166	194	31.6760688332
167	187	2382.58206444
168	188	9.62302882787
169	32	8586.70765212
170	189	0.0
171	196	0.0
172	190	3.41680851446
173	197	146.733890959
174	195	0.0
175	198	0.0
176	199	1141.29950485
177	191	177.181119263
178	200	0.0
179	201	466.779731163
180	202	29.3640520128
181	203	2141.9353432
182	204	19644.5869547
183	205	163.24320581
184	206	0.0
185	207	0.0
186	208	264.842742564
187	209	101.090381702
188	192	14474.3876421
189	210	0.0
190	125	1295.35419974
191	216	1394.58984136
192	215	14607.582091
193	217	0.0
194	221	41.0803330987
195	222	446.512081485
196	223	119.723199358
197	224	735.732289254
198	225	0.0
199	226	6205.30776705
200	240	22.381628601
201	227	1787.75987217
202	228	3501.1165386
203	242	5.38332950102
204	243	36626.0197062
205	244	18.8163122062
206	245	1.15171798364
207	246	3506.74328009
208	247	42.4350525182
209	230	30824.6358604
210	231	6243.78473076
211	232	22737.926349
212	233	0.0
213	234	0.0
214	235	0.0
215	236	2950.14292489
216	237	6653.28539986
217	248	0.0
218	238	66.5386905904
219	239	0.0
220	169	3.09286976547
221	257	8352.07184929
222	253	0.0
223	254	1059.79199004
224	255	10077.5161232
225	256	177.850722593
226	261	957.158198912
